scenario_group_id,business_profile_id,request_id,lot_id,candidate_id,source_type,generator_success_probability
SG-00001,BP-001,SYN-REQ-00001,SYN-LOT-00001,SYN-CAND-00001-01,SYNTHETIC_GENERATED,0.7939553494701939
SG-00001,BP-001,SYN-REQ-00001,SYN-LOT-00001,SYN-CAND-00001-02,SYNTHETIC_GENERATED,0.761229610181553
SG-00002,BP-002,SYN-REQ-00002,SYN-LOT-00002,SYN-CAND-00002-01,SYNTHETIC_GENERATED,0.7310645250126007
SG-00002,BP-002,SYN-REQ-00002,SYN-LOT-00002,SYN-CAND-00002-02,SYNTHETIC_GENERATED,0.8359289015600243
SG-00002,BP-002,SYN-REQ-00002,SYN-LOT-00002,SYN-CAND-00002-03,SYNTHETIC_GENERATED,0.6913992679472013
SG-00002,BP-002,SYN-REQ-00002,SYN-LOT-00002,SYN-CAND-00002-04,SYNTHETIC_GENERATED,0.6511970171280381
SG-00002,BP-002,SYN-REQ-00002,SYN-LOT-00002,SYN-CAND-00002-05,SYNTHETIC_GENERATED,0.8289966104065563
SG-00003,BP-003,SYN-REQ-00003,SYN-LOT-00003,SYN-CAND-00003-01,SYNTHETIC_GENERATED,0.8649127563186897
SG-00003,BP-003,SYN-REQ-00003,SYN-LOT-00003,SYN-CAND-00003-02,SYNTHETIC_GENERATED,0.7028576385743851
SG-00004,BP-004,SYN-REQ-00004,SYN-LOT-00004,SYN-CAND-00004-01,SYNTHETIC_GENERATED,0.7996819739831499
SG-00004,BP-004,SYN-REQ-00004,SYN-LOT-00004,SYN-CAND-00004-02,SYNTHETIC_GENERATED,0.8606082064870454
SG-00004,BP-004,SYN-REQ-00004,SYN-LOT-00004,SYN-CAND-00004-03,SYNTHETIC_GENERATED,0.6033137204554218
SG-00004,BP-004,SYN-REQ-00004,SYN-LOT-00004,SYN-CAND-00004-04,SYNTHETIC_GENERATED,0.8468181223392683
SG-00004,BP-004,SYN-REQ-00004,SYN-LOT-00004,SYN-CAND-00004-05,SYNTHETIC_GENERATED,0.8265298416117242
