scenario_group_id,split
SG-00001,train
SG-00002,train
SG-00003,train
SG-00004,validation
SG-00005,train
SG-00006,test
SG-00007,train
SG-00008,train
SG-00009,train
SG-00010,train
SG-00011,train
SG-00012,train
SG-00013,train
SG-00014,test
SG-00015,train
SG-00016,train
SG-00017,train
SG-00018,train
SG-00019,validation
SG-00020,train
SG-00021,train
SG-00022,train
SG-00023,validation
SG-00024,train
SG-00025,train
SG-00026,train
SG-00027,train
SG-00028,train
SG-00029,train
SG-00030,train
SG-00031,train
SG-00032,train
SG-00033,validation
SG-00034,train
SG-00035,validation
SG-00036,train
SG-00037,train
SG-00038,validation
SG-00039,train
SG-00040,train
SG-00041,train
SG-00042,test
SG-00043,test
SG-00044,train
SG-00045,train
SG-00046,train
SG-00047,validation
SG-00048,train
SG-00049,train
SG-00050,test
SG-00051,train
SG-00052,train
SG-00053,test
SG-00054,train
SG-00055,test
SG-00056,train
SG-00057,validation
SG-00058,train
SG-00059,test
SG-00060,validation
SG-00061,train
SG-00062,train
SG-00063,train
SG-00064,test
SG-00065,train
SG-00066,test
SG-00067,train
SG-00068,train
SG-00069,train
SG-00070,train
SG-00071,train
SG-00072,train
SG-00073,validation
SG-00074,train
SG-00075,validation
SG-00076,train
SG-00077,test
SG-00078,train
SG-00079,train
SG-00080,train
SG-00081,train
SG-00082,test
SG-00083,train
SG-00084,train
SG-00085,train
SG-00086,validation
SG-00087,train
SG-00088,train
SG-00089,train
SG-00090,test
SG-00091,train
SG-00092,train
SG-00093,validation
SG-00094,test
SG-00095,train
SG-00096,test
SG-00097,train
SG-00098,train
SG-00099,train
SG-00100,train
SG-00101,train
SG-00102,train
SG-00103,train
SG-00104,train
SG-00105,validation
SG-00106,test
SG-00107,train
SG-00108,train
SG-00109,train
SG-00110,train
SG-00111,train
SG-00112,train
SG-00113,train
SG-00114,train
SG-00115,validation
SG-00116,validation
SG-00117,train
SG-00118,train
SG-00119,test
SG-00120,train
SG-00121,validation
SG-00122,validation
SG-00123,train
SG-00124,train
SG-00125,validation
SG-00126,train
SG-00127,train
SG-00128,train
SG-00129,train
SG-00130,train
SG-00131,train
SG-00132,train
SG-00133,train
SG-00134,train
SG-00135,train
SG-00136,train
SG-00137,train
SG-00138,validation
SG-00139,train
SG-00140,train
SG-00141,train
SG-00142,train
SG-00143,train
SG-00144,train
SG-00145,train
SG-00146,test
SG-00147,train
SG-00148,train
SG-00149,train
SG-00150,test
SG-00151,train
SG-00152,train
SG-00153,train
SG-00154,validation
SG-00155,validation
SG-00156,validation
SG-00157,train
SG-00158,train
SG-00159,train
SG-00160,validation
SG-00161,test
SG-00162,test
SG-00163,test
SG-00164,validation
SG-00165,validation
SG-00166,train
SG-00167,train
SG-00168,test
SG-00169,train
SG-00170,train
SG-00171,train
SG-00172,train
SG-00173,train
SG-00174,train
SG-00175,train
SG-00176,train
SG-00177,train
SG-00178,train
SG-00179,train
SG-00180,train
SG-00181,train
SG-00182,train
SG-00183,test
SG-00184,validation
SG-00185,train
SG-00186,train
SG-00187,train
SG-00188,train
SG-00189,validation
SG-00190,train
SG-00191,test
SG-00192,train
SG-00193,train
SG-00194,train
SG-00195,validation
SG-00196,train
SG-00197,validation
SG-00198,train
SG-00199,train
SG-00200,train
SG-00201,train
SG-00202,train
SG-00203,train
SG-00204,train
SG-00205,validation
SG-00206,validation
SG-00207,validation
SG-00208,validation
SG-00209,train
SG-00210,train
SG-00211,validation
SG-00212,validation
SG-00213,train
SG-00214,train
SG-00215,train
SG-00216,train
SG-00217,train
SG-00218,train
SG-00219,train
SG-00220,train
SG-00221,train
SG-00222,validation
SG-00223,train
SG-00224,train
SG-00225,train
SG-00226,train
SG-00227,validation
SG-00228,test
SG-00229,validation
SG-00230,train
SG-00231,train
SG-00232,train
SG-00233,train
SG-00234,train
SG-00235,train
SG-00236,train
SG-00237,train
SG-00238,train
SG-00239,train
SG-00240,train
SG-00241,validation
SG-00242,train
SG-00243,train
SG-00244,train
SG-00245,train
SG-00246,train
SG-00247,train
SG-00248,test
SG-00249,train
SG-00250,train
SG-00251,train
SG-00252,test
SG-00253,train
SG-00254,train
SG-00255,train
SG-00256,validation
SG-00257,train
SG-00258,train
SG-00259,train
SG-00260,train
SG-00261,train
SG-00262,test
SG-00263,validation
SG-00264,train
SG-00265,test
SG-00266,validation
SG-00267,validation
SG-00268,train
SG-00269,train
SG-00270,train
SG-00271,test
SG-00272,validation
SG-00273,validation
SG-00274,train
SG-00275,train
SG-00276,test
SG-00277,train
SG-00278,test
SG-00279,train
SG-00280,test
SG-00281,train
SG-00282,train
SG-00283,train
SG-00284,train
SG-00285,train
SG-00286,train
SG-00287,test
SG-00288,test
SG-00289,validation
SG-00290,train
SG-00291,test
SG-00292,validation
SG-00293,train
SG-00294,train
SG-00295,test
SG-00296,test
SG-00297,train
SG-00298,train
SG-00299,train
SG-00300,train
SG-00301,train
SG-00302,test
SG-00303,train
SG-00304,validation
SG-00305,train
SG-00306,train
SG-00307,train
SG-00308,train
SG-00309,train
SG-00310,train
SG-00311,train
SG-00312,train
SG-00313,train
SG-00314,train
SG-00315,test
SG-00316,train
SG-00317,validation
SG-00318,train
SG-00319,train
SG-00320,train
SG-00321,test
SG-00322,train
SG-00323,train
SG-00324,test
SG-00325,train
SG-00326,test
SG-00327,train
SG-00328,train
SG-00329,train
SG-00330,train
SG-00331,validation
SG-00332,train
SG-00333,train
SG-00334,test
SG-00335,train
SG-00336,train
SG-00337,train
SG-00338,train
SG-00339,train
SG-00340,test
SG-00341,train
SG-00342,validation
SG-00343,train
SG-00344,train
SG-00345,train
SG-00346,test
SG-00347,train
SG-00348,train
SG-00349,train
SG-00350,test
SG-00351,train
SG-00352,validation
SG-00353,train
SG-00354,train
SG-00355,train
SG-00356,test
SG-00357,train
SG-00358,train
SG-00359,validation
SG-00360,train
SG-00361,train
SG-00362,train
SG-00363,train
SG-00364,train
SG-00365,test
SG-00366,train
SG-00367,test
SG-00368,train
SG-00369,train
SG-00370,train
SG-00371,train
SG-00372,train
SG-00373,train
SG-00374,validation
SG-00375,train
SG-00376,validation
SG-00377,train
SG-00378,validation
SG-00379,train
SG-00380,train
SG-00381,train
SG-00382,train
SG-00383,train
SG-00384,train
SG-00385,validation
SG-00386,train
SG-00387,validation
SG-00388,train
SG-00389,train
SG-00390,train
SG-00391,train
SG-00392,test
SG-00393,train
SG-00394,train
SG-00395,train
SG-00396,train
SG-00397,train
SG-00398,test
SG-00399,test
SG-00400,validation
SG-00401,train
SG-00402,test
SG-00403,validation
SG-00404,train
SG-00405,train
SG-00406,validation
SG-00407,train
SG-00408,train
SG-00409,train
SG-00410,validation
SG-00411,test
SG-00412,train
SG-00413,validation
SG-00414,validation
SG-00415,test
SG-00416,train
SG-00417,train
SG-00418,validation
SG-00419,train
SG-00420,train
SG-00421,train
SG-00422,train
SG-00423,train
SG-00424,test
SG-00425,train
SG-00426,train
SG-00427,train
SG-00428,train
SG-00429,test
SG-00430,train
SG-00431,train
SG-00432,train
SG-00433,test
SG-00434,train
SG-00435,train
SG-00436,train
SG-00437,train
SG-00438,test
SG-00439,test
SG-00440,validation
SG-00441,test
SG-00442,validation
SG-00443,test
SG-00444,train
SG-00445,train
SG-00446,validation
SG-00447,test
SG-00448,train
SG-00449,train
SG-00450,train
SG-00451,test
SG-00452,train
SG-00453,train
SG-00454,train
SG-00455,train
SG-00456,train
SG-00457,test
SG-00458,train
SG-00459,test
SG-00460,test
SG-00461,train
SG-00462,train
SG-00463,test
SG-00464,train
SG-00465,validation
SG-00466,train
SG-00467,train
SG-00468,train
SG-00469,train
SG-00470,train
SG-00471,train
SG-00472,train
SG-00473,train
SG-00474,train
SG-00475,train
SG-00476,train
SG-00477,train
SG-00478,train
SG-00479,validation
SG-00480,train
SG-00481,train
SG-00482,validation
SG-00483,validation
SG-00484,train
SG-00485,train
SG-00486,test
SG-00487,validation
SG-00488,train
SG-00489,test
SG-00490,train
SG-00491,test
SG-00492,test
SG-00493,train
SG-00494,train
SG-00495,test
SG-00496,train
SG-00497,validation
SG-00498,train
SG-00499,train
SG-00500,test
SG-00501,train
SG-00502,train
SG-00503,train
SG-00504,test
SG-00505,train
SG-00506,train
SG-00507,train
SG-00508,train
SG-00509,train
SG-00510,train
SG-00511,train
SG-00512,train
SG-00513,validation
SG-00514,train
SG-00515,train
SG-00516,test
SG-00517,train
SG-00518,train
SG-00519,train
SG-00520,train
SG-00521,train
SG-00522,validation
SG-00523,train
SG-00524,train
SG-00525,train
SG-00526,test
SG-00527,validation
SG-00528,validation
SG-00529,test
SG-00530,train
SG-00531,train
SG-00532,train
SG-00533,train
SG-00534,test
SG-00535,test
SG-00536,test
SG-00537,train
SG-00538,train
SG-00539,train
SG-00540,train
SG-00541,validation
SG-00542,train
SG-00543,train
SG-00544,train
SG-00545,train
SG-00546,test
SG-00547,train
SG-00548,train
SG-00549,train
SG-00550,train
SG-00551,train
SG-00552,train
SG-00553,train
SG-00554,train
SG-00555,train
SG-00556,test
SG-00557,train
SG-00558,train
SG-00559,train
SG-00560,validation
SG-00561,validation
SG-00562,train
SG-00563,test
SG-00564,train
SG-00565,test
SG-00566,validation
SG-00567,train
SG-00568,train
SG-00569,train
SG-00570,validation
SG-00571,validation
SG-00572,train
SG-00573,train
SG-00574,train
SG-00575,train
SG-00576,train
SG-00577,validation
SG-00578,validation
SG-00579,train
SG-00580,train
SG-00581,train
SG-00582,train
SG-00583,train
SG-00584,train
SG-00585,validation
SG-00586,train
SG-00587,train
SG-00588,train
SG-00589,train
SG-00590,validation
SG-00591,validation
SG-00592,train
SG-00593,validation
SG-00594,train
SG-00595,train
SG-00596,train
SG-00597,train
SG-00598,validation
SG-00599,train
SG-00600,train
SG-00601,train
SG-00602,train
SG-00603,train
SG-00604,train
SG-00605,test
SG-00606,validation
SG-00607,train
SG-00608,train
SG-00609,train
SG-00610,train
SG-00611,train
SG-00612,train
SG-00613,train
SG-00614,validation
SG-00615,train
SG-00616,train
SG-00617,validation
SG-00618,train
SG-00619,train
SG-00620,train
SG-00621,validation
SG-00622,train
SG-00623,validation
SG-00624,validation
SG-00625,validation
SG-00626,train
SG-00627,train
SG-00628,train
SG-00629,train
SG-00630,train
SG-00631,train
SG-00632,train
SG-00633,train
SG-00634,test
SG-00635,validation
SG-00636,validation
SG-00637,train
SG-00638,train
SG-00639,train
SG-00640,train
SG-00641,train
SG-00642,test
SG-00643,test
SG-00644,train
SG-00645,validation
SG-00646,validation
SG-00647,validation
SG-00648,train
SG-00649,train
SG-00650,validation
SG-00651,validation
SG-00652,train
SG-00653,validation
SG-00654,train
SG-00655,train
SG-00656,train
SG-00657,train
SG-00658,train
SG-00659,train
SG-00660,train
SG-00661,train
SG-00662,test
SG-00663,train
SG-00664,train
SG-00665,train
SG-00666,train
SG-00667,train
SG-00668,test
SG-00669,validation
SG-00670,test
SG-00671,validation
SG-00672,train
SG-00673,train
SG-00674,train
SG-00675,train
SG-00676,test
SG-00677,train
SG-00678,train
SG-00679,train
SG-00680,train
SG-00681,train
SG-00682,train
SG-00683,train
SG-00684,train
SG-00685,train
SG-00686,train
SG-00687,train
SG-00688,test
SG-00689,train
SG-00690,test
SG-00691,test
SG-00692,train
SG-00693,train
SG-00694,train
SG-00695,train
